RespID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_97,Q8_98,Q8_oth,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_97,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_oth,Q14_text
1001,1,47,2,1,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,,NaN,NaN,NaN,NaN,NaN,3,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,,Eco-friendlyNaNpackaging
1002,1,23,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,1,0,1,0,0,0,0,0,1,0,0,0,,3,3,1,5,4,4,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,,Eco-friendlyNaNpackaging
1003,1,NaN,1,3,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,1,0,0,0,0,0,1,0,xyx,2,3,3,5,2,4,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,,Eco-friendlyNaNpackaging
1004,1,49,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,1,1,0,0,0,0,0,,2,5,1,4,2,2,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,Satisfied,BetterNaNpricing
1005,1,20,2,3,1,1,0,1,1,1,0,1,1,0,1,1,1,0,2,4,NaN,1,4,4,0,0,0,0,0,0,0,0,0,0,1,fdffgg,NaN,NaN,NaN,NaN,NaN,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,BetterNaNavailability
1006,1,46,1,97,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,4,1,1,0,0,0,1,0,1,0,0,0,,5,3,5,2,5,NaN,1,0,1,1,1,0,0,0,5,0,1,0,1,0,1,0,1,MoreNaNvariety,Eco-friendlyNaNpackaging
1007,1,45,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,2,1,0,0,0,1,1,0,0,0,0,0,,5,5,4,4,2,5,0,0,0,0,0,0,0,1,5,1,1,1,1,0,0,0,1,Satisfied,Satisfied
1008,2,90,1,2,0,1,1,0,1,0,0,0,1,1,0,1,0,0,NaN,2,2,NaN,4,NaN,0,0,0,0,0,1,1,1,1,0,0,,1,1,4,4,1,4,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,,BetterNaNavailability
1009,1,26,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,NaN,5,NaN,6,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,,NaN,NaN,NaN,NaN,NaN,3,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,1,0,,MoreNaNdiscounts
1010,1,50,2,2,1,0,0,1,1,0,0,1,0,0,1,1,0,0,3,NaN,NaN,5,1,NaN,0,0,0,0,1,0,0,0,0,0,0,,5,5,3,1,5,4,0,0,0,0,0,1,1,0,4,1,0,0,1,0,0,0,0,,ImproveNaNquality
1011,1,31,2,3,0,0,0,0,1,1,0,0,0,0,0,1,1,0,NaN,NaN,NaN,NaN,2,2,0,0,0,1,1,1,1,0,0,0,0,,4,4,1,3,1,4,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,1,1,MoreNaNvariety,Eco-friendlyNaNpackaging
1012,2,23,1,97,0,0,0,1,1,0,0,0,0,0,1,1,0,0,NaN,NaN,NaN,5,6,NaN,0,1,0,0,0,0,1,0,0,0,0,,1,2,3,4,2,NaN,0,0,1,0,0,1,0,0,5,1,0,1,0,1,0,0,0,,MoreNaNvariety
1013,1,34,1,97,0,0,1,0,1,0,0,0,0,1,0,1,0,0,NaN,NaN,2,NaN,3,NaN,1,0,1,1,0,0,1,1,0,0,0,,5,3,3,1,3,NaN,0,1,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,,Eco-friendlyNaNpackaging
1014,1,43,1,3,0,1,0,1,1,0,0,0,1,0,1,1,0,0,NaN,3,NaN,4,2,NaN,1,1,0,0,0,1,0,1,1,0,0,,3,4,3,3,4,3,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,,MoreNaNvariety
1015,1,49,1,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,NaN,4,1,1,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,,2,1,4,1,5,3,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,Satisfied,LoyalNaNcustomer
1016,2,61,1,1,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,0,0,1,0,1,0,0,0,,3,1,2,3,5,5,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,BetterNaNpricing
1017,1,23,1,4,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1,0,0,0,,3,2,3,3,1,1,0,0,1,0,0,1,0,0,4,0,1,0,1,0,1,0,0,,MoreNaNdiscounts
1018,1,46,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NaN,1,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,1,0,0,0,,2,3,1,3,1,3,1,0,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,,ImproveNaNquality
1019,1,24,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,NaN,NaN,6,NaN,NaN,1,0,0,1,0,0,0,0,0,1,0,0,,3,4,2,2,4,3,1,0,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,,BetterNaNavailability
1020,2,38,2,4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,4,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,1,1,0,0,,3,5,2,2,3,3,0,0,1,0,1,0,1,0,5,0,0,0,0,0,1,0,1,BetterNaNavailability,Satisfied
1021,1,41,2,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,NaN,NaN,5,NaN,NaN,5,0,0,0,1,0,0,1,0,0,0,0,,1,2,1,2,3,5,1,1,1,1,1,1,0,0,3,0,1,0,0,0,0,0,0,,MoreNaNvariety
1022,1,36,1,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,6,NaN,5,NaN,NaN,NaN,0,1,0,1,0,0,1,1,0,0,0,,2,1,2,4,3,3,0,1,1,0,1,1,0,0,4,1,0,0,1,0,0,0,0,,Eco-friendlyNaNpackaging
1023,1,62,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NaN,1,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,1,0,0,,4,4,5,1,1,3,1,0,1,1,0,0,0,0,3,1,0,0,0,1,0,1,0,,Satisfied
1024,2,53,2,97,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NaN,NaN,1,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,1,BetterNaNavailability,LoyalNaNcustomer
1025,1,56,1,2,1,1,1,0,0,1,0,1,1,1,0,0,1,0,4,6,3,NaN,NaN,1,0,0,0,1,0,0,1,1,0,0,0,,1,4,2,5,1,3,1,1,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,,BetterNaNavailability
1026,1,41,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NaN,5,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,0,1,0,0,,5,4,4,5,4,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,,Satisfied
1027,1,21,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,5,1,0,0,1,0,0,1,0,0,0,0,,2,3,2,3,5,4,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,,BetterNaNavailability
1028,2,62,1,2,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,1,0,0,0,0,1,0,0,,5,3,5,3,1,3,0,1,0,0,0,1,1,0,4,0,0,0,0,1,1,1,0,,LoyalNaNcustomer
1029,1,58,1,1,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0,0,1,1,0,0,1,0,,1,5,1,3,3,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,,Eco-friendlyNaNpackaging
1030,1,38,1,1,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,,NaN,NaN,NaN,NaN,NaN,3,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,LoyalNaNcustomer,MoreNaNdiscounts
1031,1,61,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0,0,0,1,1,0,0,0,0,,2,5,2,5,4,1,1,0,1,0,1,1,0,0,2,0,1,1,0,1,0,0,0,,BetterNaNavailability
1032,2,32,1,3,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,1,1,0,0,,5,1,3,2,5,3,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,,ImproveNaNquality
1033,1,41,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,2,NaN,0,0,0,1,0,1,1,0,1,0,0,,2,2,4,3,3,5,0,0,1,1,0,0,1,0,4,0,0,1,0,0,1,0,0,,MoreNaNdiscounts
1034,1,29,1,97,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,1,,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,1,0,,ImproveNaNquality
1035,1,34,1,1,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,1,1,0,1,0,0,,1,2,2,2,4,2,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,,MoreNaNdiscounts
1036,2,63,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,NaN,NaN,NaN,2,NaN,1,0,0,1,0,1,1,1,0,0,0,,3,2,2,1,3,5,1,0,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,,LoyalNaNcustomer
1037,1,53,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,NaN,NaN,NaN,2,NaN,1,1,0,1,1,0,0,1,0,0,0,,4,1,1,4,1,5,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,,ImproveNaNquality
1038,1,46,1,4,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,,2,3,1,4,3,4,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,,ImproveNaNquality
1039,2,46,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0,0,0,1,1,0,1,0,0,,5,4,3,2,3,1,0,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,,ImproveNaNquality
1040,1,53,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,NaN,NaN,NaN,NaN,1,1,0,0,0,0,1,1,0,0,0,0,,3,2,3,1,1,2,0,0,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,,Eco-friendlyNaNpackaging
1041,1,40,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NaN,NaN,2,NaN,NaN,NaN,1,0,0,0,0,0,0,0,0,0,0,,5,2,5,5,3,3,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,,MoreNaNdiscounts
1042,1,20,1,97,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,1,0,1,1,1,1,0,0,0,,3,2,4,2,5,NaN,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,ImproveNaNquality,BetterNaNavailability
1043,1,38,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,2,NaN,0,1,0,0,0,1,0,1,1,0,0,,1,2,3,4,5,4,1,0,0,0,1,1,0,0,3,0,0,1,0,1,0,0,0,,LoyalNaNcustomer
1044,1,48,2,3,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2,NaN,1,NaN,NaN,6,1,1,1,0,1,0,0,0,0,0,0,,3,3,4,4,2,4,0,1,1,0,0,0,1,0,4,0,0,1,1,1,1,1,1,MoreNaNdiscounts,LoyalNaNcustomer
1045,1,46,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,NaN,2,NaN,NaN,NaN,6,0,0,1,0,0,1,1,1,1,0,0,,3,2,3,5,3,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,LoyalNaNcustomer,BetterNaNavailability
1046,1,21,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NaN,5,NaN,NaN,NaN,NaN,0,0,1,1,0,1,0,0,0,0,0,,4,3,4,3,1,3,0,1,0,1,1,1,1,1,3,0,1,0,1,0,0,0,1,BetterNaNpricing,Satisfied
1047,1,21,1,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,4,2,NaN,NaN,4,NaN,1,1,0,0,1,0,1,0,0,0,0,,4,3,2,1,5,3,1,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,0,,MoreNaNdiscounts
1048,2,42,1,97,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,6,NaN,1,0,1,1,1,0,1,0,1,0,0,,1,5,4,1,3,5,0,1,1,0,0,1,0,0,3,0,0,0,1,0,0,0,1,Eco-friendlyNaNpackagi,MoreNaNdiscounts
1049,1,59,2,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,2,NaN,NaN,6,NaN,NaN,1,0,0,0,0,0,1,0,1,0,0,,3,4,4,5,4,1,0,1,1,1,0,0,1,0,4,0,0,0,0,0,0,0,1,ImproveNaNquality,MoreNaNvariety
1050,1,43,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,NaN,NaN,NaN,1,NaN,5,1,1,0,0,0,0,1,1,0,0,0,,4,2,1,5,4,3,0,0,1,1,1,0,1,0,2,0,1,0,0,1,0,0,0,,BetterNaNpricing
